#1
double csv(8751,9)
# time	TSet	fanRet	fanSup	bypass	converged	TLiving	TMin	QHea
5688000	307.068638184	0.02334098137	0.02334098137	0	1	293.929408083	294.15	2406.51076924
5691600	307.465946777	0.0233407686242	0.0233407686242	0	1	293.924197072	294.15	1991.75968257
5695200	307.865162379	0.0233392759317	0.0233392759317	0	1	293.918359161	294.15	1807.1704513
5698800	294.709716039	0.0233468678855	0.0233468678855	0	1	293.910841797	289.15	0.000707033882573
5702400	292.82748515	0.0233478823855	0.0233478823855	0	1	292.777535657	289.15	0.00185195199414
5706000	292.178185947	0.023346178369	0.023346178369	0	1	292.267322316	289.15	0.00251638085491
5709600	291.813212801	0.0233474713381	0.0233474713381	0	1	291.931183653	289.15	0.00274260418788
5713200	291.52791747	0.023345953	0.023345953	0	1	291.663608187	289.15	0.00289963818222
5716800	291.273100544	0.0233460316692	0.0233460316692	0	1	291.429835335	289.15	0.00300866933087
5720400	291.033333816	0.023345174962	0.023345174962	0	1	291.215070039	289.15	0.00300876191984
5724000	328.223534664	0.0233391453717	0.0233391453717	0	1	291.012269698	289.15	29999.9969912
5727600	318.084210713	0.0233393326591	0.0233393326591	0	1	294.581852619	294.15	0.000618958520933
5731200	316.130170576	0.023338388959	0.023338388959	0	1	294.112407974	294.15	3656.34350173
5734800	295.195325175	0.0233476232954	0.0233476232954	0	1	294.060896231	289.15	0.000739142897642
5738400	292.377993342	0.0233459938111	0.0233459938111	0	1	292.356597175	289.15	0.002278041198
5742000	291.890860085	0.0233419514276	0.0233419514276	0	1	291.854894861	289.15	0.00282887471612
5745600	291.763075498	0.0233459171876	0.0233459171876	0	1	292.279161334	289.15	0.00242729384514
5749200	291.66343554	0.0236442639196	0.0236442639196	0	1	292.189924314	289.15	0.00257565172332
5752800	291.497205593	0.023345945606	0.023345945606	0	1	291.896571373	289.15	0.00279026162147
5756400	291.364506264	0.0233451252687	0.0233451252687	0	1	291.790418656	289.15	0.00289629243786
5760000	291.208089294	0.0233448396968	0.0233448396968	0	1	291.730308607	289.15	0.00296651291651
5763600	324.182972632	0.0233394596947	0.0233394596947	0	1	291.472273957	289.15	29999.9969913
5767200	316.047781739	0.0233394806294	0.0233394806294	0	1	294.564385777	294.15	0.000600125265092
5770800	314.677655442	0.0233578098562	0.0233578098562	0	1	294.136852683	294.15	2617.58059472
5774400	313.776076878	0.0233392652375	0.0233392652375	0	1	294.066182668	294.15	2940.24911375
5778000	313.278274619	0.0233393135113	0.0233393135113	0	1	294.001204888	294.15	2217.41510498
5781600	312.987733732	0.0233380004318	0.0233380004318	0	1	293.950352524	294.15	2147.64190652
5785200	294.998553348	0.0233455229174	0.0233455229174	0	1	293.90562797	289.15	0.000742614051499
5788800	292.244222293	0.023346674065	0.023346674065	0	1	292.383282742	289.15	0.00234375206002
5792400	291.35751555	0.0233452055474	0.0233452055474	0	1	291.734098087	289.15	0.00292969523907
5796000	290.909258037	0.0233467828658	0.0233467828658	0	1	291.330437142	289.15	0.00300876191879
5799600	290.585679892	0.0233454206676	0.0233454206676	0	1	291.022327739	289.15	0.00300876191984
5803200	290.309316058	0.0233456258111	0.0233456258111	0	1	290.760822864	289.15	0.00300876191984
5806800	290.05835153	0.023344386537	0.023344386537	0	1	290.527412461	289.15	0.00300876191984
5810400	332.767817852	0.0233389257647	0.0233389257647	0	1	290.313265181	289.15	29999.9969912
5814000	317.227048677	0.0233391220542	0.0233391220542	0	1	294.466777263	294.15	0.000557720853961
5817600	311.355498828	0.0233383111448	0.0233383111448	0	1	294.051087798	294.15	0.000820927310788
5821200	295.081512385	0.023348431805	0.023348431805	0	1	293.980990673	289.15	0.00101215565634
5824800	292.875547305	0.0233470757539	0.0233470757539	0	1	293.132468769	289.15	0.00160932236257
5828400	292.380020896	0.0233474296	0.0233474296	0	1	292.940106347	289.15	0.00160741701893
5832000	292.216977975	0.0233471307609	0.0233471307609	0	1	292.799627225	289.15	0.00184375282659
5835600	292.101330271	0.0233472161001	0.0233472161001	0	1	292.752319388	289.15	0.00196552406843
5839200	291.983829518	0.023347090202	0.023347090202	0	1	292.622368375	289.15	0.00215078307568
5842800	291.90039057	0.0233462156045	0.0233462156045	0	1	292.489030697	289.15	0.0023016692818
5846400	291.841557675	0.0233458397308	0.0233458397308	0	1	292.466419014	289.15	0.00244322733908
5850000	315.939605399	0.023340051051	0.023340051051	0	1	292.179617417	289.15	29999.9974276
5853600	310.968755	0.0233400874039	0.0233400874039	0	1	294.273068424	294.15	0.000718807913268
5857200	310.212714001	0.0233400879798	0.0233400879798	0	1	293.986296476	294.15	1326.45845016
5860800	309.848110273	0.0233399191071	0.0233399191071	0	1	293.929014666	294.15	1823.02260783
5864400	309.64921038	0.0233400712548	0.0233400712548	0	1	293.886912888	294.15	2262.53492763
5868000	309.567173379	0.0233386067716	0.0233386067716	0	1	293.851547079	294.15	2722.69620409
5871600	294.794277288	0.0233466448075	0.0233466448075	0	1	293.819250659	289.15	0.000851539065363
5875200	292.465091184	0.0233478419631	0.0233478419631	0	1	292.548656477	289.15	0.00215343990251
5878800	291.707405898	0.0233463983832	0.0233463983832	0	1	291.997711528	289.15	0.00267652489008
5882400	291.317134463	0.0233480314401	0.0233480314401	0	1	291.657714446	289.15	0.00290358659753
5886000	291.032562462	0.0233466536343	0.0233466536343	0	1	291.398182219	289.15	0.00300875938131
5889600	290.789289196	0.0233468729851	0.0233468729851	0	1	291.177495252	289.15	0.00300876191984
5893200	290.568545099	0.0233651566306	0.0233651566306	0	1	290.980123551	289.15	0.00300876191984
5896800	328.38650551	0.0233396281669	0.0233396281669	0	1	290.797583523	289.15	29999.9969912
5900400	317.14839773	0.0233398788968	0.0233398788968	0	1	294.447933705	294.15	0.000578805690978
5904000	314.363796608	0.023338940923	0.023338940923	0	1	294.010638411	294.15	1725.84017837
5907600	295.142819486	0.0233491658167	0.0233491658167	0	1	293.946681478	289.15	0.000852664148538
5911200	292.261541446	0.0233477143753	0.0233477143753	0	1	292.467526362	289.15	0.00225422269724
5914800	291.465966985	0.0233479588446	0.0233479588446	0	1	291.917693332	289.15	0.00282011089569
5918400	291.15604376	0.0233476310646	0.0233476310646	0	1	291.644313821	289.15	0.00299490971164
